idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
22,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/FEETECH_HL_3915_Servo_Motor v4:3/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/MF85ZZ_1:1/MF85ZZ_1,-26.45,0.0,-0.0,2.5,9.2,9.2,84.153
23,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0413-MIDDLECASE_80:1/WJ-WK00-0413-MIDDLECASE_80,85.974,-38.098,-0.0,34.0,15.0,20.0,1568.31
24,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0412-TOPCABINET_74:1/WJ-WK00-0412-TOPCABINET_74,85.974,-29.123,0.0,34.0,4.05,20.0,2071.664
25,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-414-BOTTOMCASE_48:1/WJ-WK00-414-BOTTOMCASE_48,85.974,-48.824,-0.0,34.0,7.551,20.0,1142.073
26,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:1/PHS_1_7X20_5_DC10_3_3,97.974,-37.969,8.4,2.8,21.259,2.8,37.814
27,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:2/PHS_1_7X20_5_DC10_3_3,97.974,-37.969,-8.4,2.8,21.259,2.8,37.814
28,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:3/PHS_1_7X20_5_DC10_3_3,70.574,-37.969,4.9,2.8,21.259,2.8,37.814
29,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:4/PHS_1_7X20_5_DC10_3_3,74.074,-37.969,-8.4,2.8,21.259,2.8,37.814
30,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/OUTGEAR_ASM_11_ASM:1/OUTGEAR_ASM_11_ASM/OUTPUTGEAR_40:1/OUTPUTGEAR_40,93.477,-30.848,0.004,16.276,11.9,16.272,540.405
31,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102855:1/MANIFOLD_SOLID_BREP_102855,84.496,-44.648,-6.075,5.75,3.3,4.7,50.188
32,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/1215BLUSHMOTORASSEMBLY_ASM_18_ASM:1/1215BLUSHMOTORASSEMBLY_ASM_18_ASM/125-3PINSEAT_1_ASM:1/125-3PINSEAT_1_ASM/MANIFOLD_SOLID_BREP_102995:1/MANIFOLD_SOLID_BREP_102995,84.496,-46.948,-4.225,0.5,3.3,0.5,0.644
